Symbol	Test	Control
p_10270_2	"Breast epithelial cells treated with 17-beta estradiol (E2), progesterone (PG), bisphenol A"	"Breast epithelial cells, 17-beta estradiol (E2)"
p_10281_1	"breast tumor, Letrozole treated, 2.5mg/day,oral, 3 months"	"breast tumor, pre-treatement"
p_10282_1	Braf mutant melanoma; skin cancer	Braf wild-type melanoma; skin cancer
p_10282_2	Nras mutant mleanoma; skin cancer	Nras wild-type mleanoma; skin cancer
p_10289_1	"Hep3B cells, transfected with plasmid siSDHB (SDHB siRNA containing vector)"	"Hep3B cells, transfected with plasmid pU6"
p_10299_1	"SQ20B cells, Go6976 treated, 12h"	"SQ20B cells, control"
p_10299_2	"SQ20B cells, Go6976 treated, 24h"	"SQ20B cells, control"
p_10309_1	"CL1-5 cell, CLDN1 overexpressed"	"CL1-5 cell, control"
p_10311_1	"Primary human osteoblast like cells (HOb), BMP2 induced, 2h"	"Primary human osteoblast like cells (HOb), untreated, 2h"
p_10311_2	"Primary human osteoblast like cells (HOb), BMP2 induced, 24h"	"Primary human osteoblast like cells (HOb), untreated, 24h"
p_10311_3	"Primary human osteoblast like cells (HOb), dexamethasone induced, 2h"	"Primary human osteoblast like cells (HOb), untreated, 2h"
p_10311_4	"Primary human osteoblast like cells (HOb), dexamethasone induced, 24h"	"Primary human osteoblast like cells (HOb), untreated, 24h"
p_10311_5	osteoblast HOb514 untreated 24h; time course	HOb506_untreated_24h
p_10313_1	"Lymphoblastoid cell line, MNNG treated"	"Lymphoblastoid cell line, control"
p_10315_1	"BM-MSC, BMP2-stimulated, day1"	"BM-MSC, unstimulated, control"
p_10315_2	"BM-MSC, BMP2-stimulated, day3"	"BM-MSC, unstimulated, control"
p_10315_3	"BM-MSC, BMP2-stimulated, day7"	"BM-MSC, unstimulated, control"
p_10315_4	"BM-MSC, BMP2-stimulated, day21"	"BM-MSC, unstimulated, control"
p_10315_5	"BM-MSC, TGFb3 -stimulated, day1"	"BM-MSC, unstimulated, control"
p_10315_6	"BM-MSC, TGFb3 -stimulated, day3"	"BM-MSC, unstimulated, control"
p_10315_7	"BM-MSC, TGFb3 -stimulated, day7"	"BM-MSC, unstimulated, control"
p_10315_8	"BM-MSC, TGFb3 -stimulated, day21"	"BM-MSC, unstimulated, control"
p_10316_11	"Dendritic cells, Schuler treated, 8h"	"Immature dendritic cells, unstimulated"
p_10316_2	"Dendritic cells , LPS treated, 8h"	"Immature dendritic cells, unstimulated"
p_10316_5	"Dendritic cells, CD40L treated, 8h"	"Immature dendritic cells, unstimulated"
p_10316_8	"Dendritic cells, Poly(I:C) treated, 8h"	"Immature dendritic cells, unstimulated"
p_10317_1	Parathyroid Tumour	Normal Parathyroid Tissue
p_10327_1	desmoplastic medulloblastoma; brain cancer	classic medulloblastoma
p_10334_1	"Gingival tissue, Affected site"	"Gingival tissue, Unaffected site"
p_10406_1	Sinus mucosa tissue from cystic fibrosis-patient with chronic rhinosinusitis	Normal sinus mucosa tissue
p_10406_2	Sinus mucosa tissue from the cystic fibrosis patient	Normal sinus mucosa tissue
p_10406_3	Sinus mucosa tissue from patient with chronic rhinosinusitis	Normal sinus mucosa tissue
p_10410_2	"hepatocyte, Myclobutanil, 30uM"	"hepatocyte, DMSO 0.001, control"
p_10410_5	"hepatocyte, Propiconazole, 30uM"	"hepatocyte, PB 1000uM, positive control"
p_10410_8	"hepatocyte, Triadimefon, 30uM"	"hepatocyte, Rifampicin 30uM, positive control"
p_10437_1	"CD4+ Tcell, activated"	"CD4+ Tcell, resting"
p_10444_1	"dental pulp cells, passage 10"	"dental pulp cells, passage 4"
p_10463_1	"hMoDC, VAF347 stimulated, 8h"	"hMoDC, control, 8h"
p_10479_1	"HUVEC, bg-CAT treated"	"HUVEC, control"
p_10508_1	"Tesi cells, tetracycline treated"	"Tesi cells, control"
p_10520_1	"U937 cells, expressing AML1/ETO"	"U937 cells, empty vector"
p_10524_1	Testicular DLBCL	Central nervous system DLBCL
p_10524_2	Nodal DLBCL	Central nervous system DLBCL
p_10524_3	Nodal DLBCL	Testicular DLBCL
p_10575_1	Chondrogenic progenitor cells from Osteoarthritis; tissue	Healthy chondrocytes
p_10580_1	"U2OS cells, HA-tagged PRDM5 expression (doxycycline induced), 8h"	"U2OS cells, empty vector, doxycycline induced, 8h"
p_10580_2	"U2OS cells, HA-tagged PRDM5 expression (doxycycline induced), 24h"	"U2OS cells, empty vector, doxycycline induced, 24h"
p_10580_3	"U2OS cells, HA-tagged PRDM5 expression (doxycycline induced), 48h"	"U2OS cells, empty vector, doxycycline induced, 48h"
p_10585_1	"M12 cell, UV treated"	"M12 cell, control"
p_10586_1	Recent-onset T1D; Treg cells; blood tissue	Healthy control
p_10591_1	"HepG2 cells, Tmprss6 transfection"	"HepG2 cells, empty vector"
p_10591_2	"HepG2 cells, Mutant Tmprss6 transfection"	"HepG2 cells, empty vector"
p_10592_2	"HBE cell, PBS treated, 24h"	"HBE cell, control"
p_10592_4	"HBE cell, SMM treated, 24h"	"HBE cell, control"
p_10592_6	"HBE cell, AZIT treated, 24h"	"HBE cell, control"
p_10592_9	"HBE cell, AZIT treated, 72h, SMM treated, 24h"	"HBE cell, control"
p_10595_1	"HS5 cell, MO co-cultured"	"HS5 cell, control"
p_10595_2	"HS27a cell, MO co-cultured"	"HS27a cell, control"
p_10609_4	"T-acute lymphoblastic leukemia, HOX11L2; blood cancer"	"T-acute lymphoblastic leukemia, TAL1"
p_10609_5	"T-acute lymphoblastic leukemia, Unknown; blood cancer"	"T-acute lymphoblastic leukemia, TAL1"
p_10616_1	"colon, only crohn's disease; tissue"	"colon, healthy control"
p_10616_2	"colon, ileo-colonic crohn's disease; tissue"	"colon, healthy control"
p_10616_3	"colon, ulcerative colitis; tissue"	"colon, healthy control"
p_10650_2	"HCT116 cell, PCLKC expressed"	"HCT116 cell, control"
p_10683_1	Vervet Limbus	Vervet Cornea
p_10683_2	Vervet Limbus	Vervet Conjunctiva
p_10685_1	"Human skeletal muscle biopsy, IL-6 infusion, 3h"	"Human skeletal muscle biopsy, IL-6 infusion, 0h"
p_10685_2	"Human skeletal muscle biopsy, IL-6 infusion, 6h"	"Human skeletal muscle biopsy, IL-6 infusion, 0h"
p_10696_1	"A431 cells, Gefitinib-resistant"	"A431 cells, wild type"
p_10714_1	"human colonic biopsy sample, Hyperplastic polyp"	"human colonic biopsy sample, normal control"
p_10714_2	"human colonic biopsy sample, CRC-B"	"human colonic biopsy sample, normal control"
p_10714_3	"human colonic biopsy sample, CRC-CD"	"human colonic biopsy sample, normal control"
p_10714_4	"human colonic biopsy sample, Crohn Disease"	"human colonic biopsy sample, normal control"
p_10714_5	"human colonic biopsy sample, Adenoma with low-grade dysplasia"	"human colonic biopsy sample, normal control"
p_10714_6	"human colonic biopsy sample, Ulcerative Colitis"	"human colonic biopsy sample, normal control"
p_10714_7	colonic biopsy-UC (ulcerative colitis); tissue	colonic biopsy-normal
p_10715_1	"PBMC, CRC patient stage duke A,B"	"PBMC, control"
p_10715_2	"PBMC, CRC patient stage duke C,D"	"PBMC, control"
p_10718_1	"NHBE cells, smoke exposed, 1h"	"NHBE cells, mock exposed, 1h"
p_10718_2	"NHBE cells, smoke exposed, 2h"	"NHBE cells, mock exposed, 2h"
p_10718_3	"NHBE cells, smoke exposed, 4h"	"NHBE cells, mock exposed, 4h"
p_10718_4	"NHBE cells, smoke exposed, 24h"	"NHBE cells, mock exposed, 24h"
p_10737_1	"Jurkat cell line, cyclin T1 knockdown"	"Jurkat cell line, control shRNA-transduced"
p_10746_1	"Mucositis, pre-chemotherapy treated"	"Mucositis, healthy control"
p_10746_2	"Mucositis, post-chemotherapy treated"	"Mucositis, healthy control"
p_10767_1	"EBV-immortalized B-cells, BMPR2 mutation carrier, with clinical PAH (pulmonary arterial hypertension)"	"EBV-immortalized B-cells, BMPR2 mutation carrier, with no clinical disease"
p_10780_1	Invasive ductal carcinoma (IDC)	"Unremarkable breast ducts, Normal"
p_10791_1	"sigmoid colon biopsy, ulcerative colitis (UC)"	"sigmoid colon biopsy, healthy control"
p_10792_1	C-acute lymphoblastic leukemia (ALL) with t(12;21); leukemia; blood cancer	C-ALL-preB without t(9;22)
p_10792_2	C-acute lymphoblastic leukemia (ALL)-preB with t(9;22); leukemia; blood cancer	C-ALL-preB without t(9;22)
p_10792_3	C-acute lymphoblastic leukemia (ALL)-preB without t(9;22) and TEL deleted; leukemia; blood cancer	C-ALL-preB without t(9;22)
p_10792_4	prepreB-C-acute lymphoblastic leukemia (ALL) with MLL; leukemia; blood cancer	C-ALL-preB without t(9;22)
p_10799_1	"Human pulmonary adenocarcinoma, bone marrow negative"	"female pulmonary adenocarcinoma, normal tissue"
p_10799_2	"Human pulmonary adenocarcinoma, bone marrow positive"	"female pulmonary adenocarcinoma, normal tissue"
p_10809_1	"CA1 HESC, SOX7 over-expression"	"CA1 HESC, parental control"
p_10809_2	"CA2 HESC, SOX17 over-expression"	"CA2 HESC, parental control"
p_10810_1	breast cancer	"breast, control"
p_10810_2	"breast cancer, ki-67 > 25"	"breast cancer, ki-67 < 25"
p_10810_3	"breast cancer, estrogen receptor (+)"	"breast cancer, estrogen receptor (-)"
p_10820_1	"acute lymphoblastic leukemia (ALL), Poor prognosis; cancer"	"acute lymphoblastic leukemia (ALL), Favorable prognosis"
p_10821_1	"GC B cells, LMP1-transfected"	"GC B cells, pSC5-transfected, control"
p_10831_1	"HRS cell, L1236 HL Cell line"	GC B cell
p_10831_2	"HRS cell, KMH2 HL Cell line"	GC B cell
p_10831_3	"HRS cell, L428 HL Cell line"	GC B cell
p_10831_4	"HRS cell, L591 HL Cell line"	GC B cell
p_10832_1	"PC3 cell, sphere type"	"PC3 cell, monolayer type"
p_10832_2	"DU145 cell, sphere type"	"DU145 cell, monolayer type"
p_10846_1	"lymphoma, Rituximab-CHOP treated"	"lymphoma, CHOP"
p_10847_1	"NCI-H522 cells, BRG1 expression, treated with TGFbeta, 2h."	"NCI-H522 cells, BRG1 expression, untreated"
p_10847_2	"NCI-H522 cells, TGFbRII expression, treated with TGFbeta, 2h."	"NCI-H522 cells, TGFbRII expression, untreated"
p_10847_3	"NCI-H522 cells, TGFbRII + BRG1 expression, TGFbeta treated, 2h"	"NCI-H522 cells, TGFbRII + BRG1 expression, untreated"
p_10856_1	"MDM cells, DcR3 treated, 2 days"	"MDM cells, hIgG1 treated, 2 days, control"
p_10879_1	"MCF-7:5C cells, Estrogen-deprived"	"MCF-7 cells, wild type"
p_10879_2	"MCF-7:2A cells, Estrogen-deprived"	"MCF-7 cells, wild type"
p_10880_1	"MRC cell, IFN gamma treated"	MRC cell
p_10880_2	"MRC cell, IFN gamma treated"	PGF cell
p_10896_1	"differentiated U937 cells, 1uM curcumin treated, 4h"	"differentiated U937 cells, untreated, 4h"
p_10896_2	"differentiated U937 cells, ROS exposed, 1uM curcumin treated, 4h"	"differentiated U937 cells, ROS exposed, 4h"
p_10896_3	"differentiated U937 cells, 1uM curcumin treated, 18h"	"differentiated U937 cells, untreated, 18h"
p_10896_4	"differentiated U937 cells, ROS exposed, 1uM curcumin treated, 18h"	"differentiated U937 cells, ROS exposed, 18h"
p_10916_1	"melanoma, melphalan & temozolomide treated"	"melanoma, ,melphalan"
p_10916_2	Braf mutant melanoma; skin cancer	Braf WT melanoma
p_10916_3	Nras mutant mleanoma; skin cancer	Nras WT mleanoma
p_10927_1	adrenocortical Adenoma; cancer	"adrenal Cortex, normal"
p_10927_2	adrenocortical Carcinoma; cancer	"adrenal Cortex, normal"
p_10943_1	"ascitic fluid, ovarian cancer, IFN-alpha treated non-side population"	"ascitic fluid, ovarian cancer, untreated non-side population"
p_10946_1	cumulus_PCOS_Obese; tissue	cumulus_PCOS_Lean
p_10946_2	cumulus_nonPCOS_Obese; tissue	cumulus_nonPCOS_Lean
p_10946_3	cumulus_PCOS_Obese; tissue	cumulus_nonPCOS_Obese
p_10946_4	cumulus_PCOS_Lean; tissue	cumulus_nonPCOS_Lean
p_10960_1	"HeLa cells, s/as"	"HeLa cells, s/as mock"
p_10960_2	"HeLa cells, meT-s/as"	"HeLa cells, s/as mock"
p_10960_3	"HeLa cells, s/meT-as"	"HeLa cells, s/as mock"
p_10960_4	"HeLa cells, meT-a/meT-as"	"HeLa cells, s/as mock"
p_10960_5	"HeLa cells, PIK3CB-6340"	"HeLa cells, PIK3CB-6340 mock"
p_10961_1	Synchronous liver metastasis colorectal cancer	Metachronous liver metastasis from colorectal cancer
p_10971_1	high grade serous carcinoma; ovary cancer	non-malignant FTEn
p_10971_2	non-malignant FTEb; ovary cancer	non-malignant FTEn
p_10979_1	"FL cell, 0.05uM BPDE treated, control, 1h"	"FL cell, DMSO treated, control, 1h"
p_10979_2	"FL cell, 0.05uM BPDE treated, control, 10h"	"FL cell, DMSO treated, control, 10h"
p_10979_3	"FL cell, 0.05uM BPDE treated, control, 22h"	"FL cell, DMSO treated, control, 22h"
p_11001_1	ER+ breast cancer	ER- breast cancer
p_11001_2	PR+ breast cancer	PR- breast cancer
p_11001_3	HER2+ breast cancer	HER2- breast cancer
p_11001_4	Node+ breast cancer	Node- breast cancer
p_11024_1	"kidney, clear cell; cancer"	"kidney, normal"
p_11024_2	"kidney, chromophobe; cancer"	"kidney, normal"
p_11024_3	"kidney, papillary type1; cancer"	"kidney, normal"
p_11024_4	"kidney, papillary type2; cancer"	"kidney, normal"
p_11024_5	"kidney, oncocytoma; cancer"	"kidney, normal"
p_11024_6	"kidney, wilms tumor; cancer"	"kidney, normal"
p_11045_1	liver	kidney
p_11057_1	Central memory cell	"PMBC, control"
p_11057_2	Effector memory cell	"PMBC, control"
p_11057_3	Naive cell	"PMBC, control"
p_11083_1	"Neutrophil, JIA patient"	"Neutrophil, healthy"
p_11083_2	"Neutrophil, JDM patient"	"Neutrophil, healthy"
p_11083_3	"PBMC, JIA patient"	"PBMC, healthy"
p_11083_4	"PBMC, JDM patient"	"PBMC, healthy"
p_11092_1	"CD34- cells, stimulated by G-CSF"	"CD34+ cells, stimulated by G-CSF"
p_11100_1	"Human GBM cell, tumor, post vaccination"	"Human GBM cell, normal, post vaccination"
p_11100_2	"Human GBM cell, tumor, pre vaccination"	"Human GBM cell, normal, pre vaccination"
p_11118_1	"Jurkat Cell, mitogen stimulated , 0.5h"	"Jurkat Cell, control"
p_11118_2	"Jurkat Cell, mitogen stimulated , 1h"	"Jurkat Cell, control"
p_11135_1	MILE training; blood cancer	proficiency
p_11142_1	"T cell line, 10 nM nicotine, 1h"	"T cell line, control"
p_11142_2	"T cell line, 10 uM nicotine, 1h"	"T cell line, control"
p_11142_3	"T cell line, 1 mM nicotine, 1h"	"T cell line, control"
p_11151_1	conventional renal cell cancer	adult normal kidney
p_11151_2	papillary renal cell cancer	adult normal kidney
p_11151_3	renal oncocytoma	adult normal kidney
p_11151_4	rhabdoid tumor of kidney	adult normal kidney
p_11151_5	WIlms' tumor	adult normal kidney
p_11151_6	collecting duct carcinoma	adult normal kidney
p_11151_7	clear cell sarcoma of the kidney	adult normal kidney
p_11185_3	"293-tet-On, NOR1 with doxycycline treated"	"293-tet-On, NOR1 without doxycycline"
p_11190_1	"blood cells, after interferon treatment"	"blood cells, before interferon treatment"
p_11190_2	"blood cells, rapid-responder (RR) group, Post-interferon treatment"	"blood cells, rapid-responder (RR) group, Pre-interferon treatment"
p_11190_3	"blood cells, non-rapid-responder (RR) group, Post-interferon treatment"	"blood cells, non-rapid-responder (RR) group, Pre-interferon treatment"
p_11196_3	"non-contractile polyribosomal RNA, IPF treated"	"non-contractile polyribosomal RNA, control"
p_11196_4	"non-contractile total RNA, IPF treated"	"non-contractile total RNA, control"
p_11199_1	"Macrophage, LTB stimulated"	"Macrophage, control"
p_11199_2	"Macrophage, PTB stimulated"	"Macrophage, control"
p_11199_3	"Macrophage, TBM stimulated"	"Macrophage, control"
p_11208_1	"peripheral ganglion, nicotine, 1hr"	"peripheral ganglion, control, 1hr"
p_11208_2	"peripheral ganglion, nicotine, 24hr"	"peripheral ganglion, control, 24hr"
p_11227_1	"Whole blood, after NHD (Nocturnal home hemodialysis) treatment"	"Whole blood, before NHD treatment"
p_11238_23	"HeLa Cell Line, unknown: VVdelE3L, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_24	"HeLa Cell Line, unknown: VVE3Ldel83N, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_25	"HeLa Cell Line, unknown: VVE3Ldel26C, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_26	"HeLa Cell Line, unknown: VVE3Ldel7C, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_27	"HeLa Cell Line, unknown: VVE3L Y48A, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_28	"HeLa Cell Line, unknown: VVE3L Y48F, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_29	"HeLa Cell Line, unknown: VV-ATV, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_30	"HeLa Cell Line, unknown: VV-ADAR/E3L, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_31	"HeLa Cell Line, unknown: VVdel37N, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11238_32	"HeLa Cell Line, unknown: VVdelK3L, 9 HPI"	"HeLa cell line, mock infected, 9HPI"
p_11279_1	"SW480 cells, ezrin RNAi"	"SW480 cells, luciferase RNAi, control"
p_11281_1	"PBMC, SEI treated, 100pg/ml"	"PBMC, untreated, control"
p_11281_2	"PBMC, SEB treated, 100pg/ml"	"PBMC, untreated, control"
p_11285_1	"U251 cells, Enzastaurin treated, 4h"	"U251 cells, DMSO, 4h"
p_11285_2	"U251 cells, Enzastaurin treated, 10h"	"U251 cells, DMSO, 10h"
p_11285_3	"U251 cells, Enzastaurin treated, 18h"	"U251 cells, DMSO, 18h"
p_11292_1	"Human T cell, GARP overexpressed, 0m"	"Human T cell, GPF expressed, 0m"
p_11292_2	"Human T cell, GARP overexpressed, 100m"	"Human T cell, GPF expressed, 100m"
p_11292_3	"Human T cell, GARP overexpressed, 360m"	"Human T cell, GPF expressed, 360m"
p_11309_1	"monocyte-differenciated dendritic cells, candida-,patient"	"monocyte-differenciated dendritic cells, candida-,control"
p_11309_2	"monocyte-differenciated dendritic cells, candida+,patient"	"monocyte-differenciated dendritic cells, candida+,control"
p_11324_1	"MCF-7 cells, estrogen treated, 3h"	"MCF-7 cells, estrogen treated, 0h"
p_11324_2	"MCF-7 cells, estrogen treated, 6h"	"MCF-7 cells, estrogen treated, 0h"
p_11324_3	"MCF-7 cells, estrogen treated, 12h"	"MCF-7 cells, estrogen treated, 0h"
p_11327_1	"dendritic cell, LPS+IFNg treated, 6h"	"dendritic cells, unstimulated control, 6h"
p_11327_2	"dendritic cell, LPS+IFNg treated, 12h"	"dendritic cells, unstimulated control, 12h"
p_11327_3	"dendritic cell, LPS+IFNg treated, 24h"	"dendritic cells, unstimulated control, 24h"
p_11327_4	"dendritic cell, LPS+IFNg treated, 48h"	"dendritic cells, unstimulated control, 48h"
p_11330_1	"MCF-7 cell, SOX2 expressed"	"MCF-7 cell, control"
p_11336_1	"CCRF-CEM-C7H2 cell line, treated with dexamethansone (a GC), 100nM, 6h"	"CCRF-CEM-C7H2 cell line, treated with EtOH, 6h, control"
p_11336_2	"CCRF-CEM-C7H2 cell line, treated with dexamethansone (a GC), 100nM, 24h"	"CCRF-CEM-C7H2 cell line, treated with EtOH, 24h, control"
p_11345_1	"T84 cell, IL17 stimulated"	"T84 cell, control"
p_11345_2	"T84 cell, IL22 stimulated"	"T84 cell, control"
p_11348_1	"Nasal epithelium, rhinovirus, infection 8hr, treatment; time course"	"rhinovirus, preinfection"
p_11348_2	"Nasal epithelium, rhinovirus, infection 2day, treatment; time course"	"rhinovirus, preinfection"
p_11350_1	"hGS cells from testis, cultivated with KO Medium+GDNF treated"	"H1 cells from testis, cultivated in ES Medium+FGF2"
p_11350_2	"haGSC cells from testis, cultivated with KO Medium+GDNF treated"	"H1 cells from testis, cultivated in ES Medium+FGF2"
p_11352_1	"MCF7 cells, E2 treated, 12h"	"MCF7 cells, untreated, 12h"
p_11352_2	"MCF7 cells, E2 treated, 24h"	"MCF7 cells, untreated, 24h"
p_11352_3	"MCF7 cells, E2 treated, 48h"	"MCF7 cells, untreated, 48h"
p_11367_1	"VSMCs, IL-17 treated"	"VSMCs, untreated, control"
p_11373_1	"PSF8 cells ,Fascin-knockdown"	"PSC cells, vector control"
p_11375_1	Inpatient rehabilitation facility; blood leukocytes from trauma patients; tissue	control
p_11375_2	Skilled nursing facility; blood leukocytes from trauma patients; tissue	control
p_11375_3	Home with services; blood leukocytes from trauma patients; tissue	control
p_11375_4	Home; blood leukocytes from trauma patients; tissue	control
p_11375_5	Another acute care facility; blood leukocytes from trauma patients; tissue	control
p_11375_6	Death; blood leukocytes from trauma patients; tissue	control
p_11407_1	"MDA-MB-231 cell, C1OH-Ac3ManNAc"	"MDA-MB-231 cell, EtOH , control"
p_11407_2	"MDA-MB-231 cell, C1OH-But3GalNAc"	"MDA-MB-231 cell, EtOH , control"
p_11407_3	"MDA-MB-231 cell, C1OH-But3GlcNAc"	"MDA-MB-231 cell, EtOH , control"
p_11407_4	"MDA-MB-231 cell, C1OH-But3ManlNAc"	"MDA-MB-231 cell, EtOH , control"
p_11407_5	"MDA-MB-231 cell, C6OH-But3ManlNAc"	"MDA-MB-231 cell, EtOH , control"
p_11407_6	"MDA-MB-231 cell, AC4ManNLev"	"MDA-MB-231 cell, EtOH , control"
p_11418_1	"NHDF, passage 13, adult donor"	"NHDF, passage 4, adult donor"
p_11418_2	"NHDF, passage 6, neonatal donor"	"NHDF, passage 4, adult donor"
p_11428_1	"LNCaP cells, siRNA targeting Androgen Receptor"	"LNCaP cells, siRNA control"
p_11428_2	"abl cells, siRNA targeting Androgen Receptor"	"abl cells, siRNA control"
p_11428_3	"abl cells, DHT treated, 4h"	"abl cells, ethanol treated"
p_11428_4	"abl cells, DHT treated, 16h"	"abl cells, ethanol treated"
p_11430_1	"whole blood, monocyte"	"whole blood, macrophage"
p_11440_1	"HT29 cell, resistant to methotrxate"	"HT29 cell, sensitive to methotrxate"
p_11450_1	oocyte	HEPG2
p_11450_2	oocyte	MCF7
p_1145_1	idiopathic cardiomyopathy; heart tissue	normal
p_1145_2	familial cardiomyopathy; heart tissue	normal
p_1145_3	hypertrophic cardiomyopathy; heart tissue	normal
p_1145_4	post-partum cardiomyopathy; heart tissue	normal
p_1145_5	ischemic cardiomyopathy; heart tissue	normal
p_1145_6	viral cardiomyopathy; heart tissue	normal
p_11462_1	"MM6 cell, control, PMA treated"	"MM6 cell, control, Mock treated"
p_11462_10	MM6 cyclin T1 shRNA PMA treated	MM6 control shRNA PMA treated
p_11462_11	MM6 control shRNA LPS treated	MM6 control shRNA Mock treated
p_11462_12	MM6 cyclin T1 shRNA LPS treated	MM6 control shRNA LPS treated
p_11462_13	MM6 cyclin T1 shRNA LPS treated	MM6 cyclin T1 shRNA Mock treated
p_11462_2	"MM6 cell, control, LPS treated"	"MM6 cell, control, Mock treated"
p_11462_3	"MM6 cell, Cyclin T1 knockdown, PMA treated"	"MM6 cell, Cyclin T1 knockdown, Mock treated"
p_11462_4	"MM6 cell, Cyclin T1 knockdown, LPS treated"	"MM6 cell, Cyclin T1 knockdown, Mock treated"
p_11462_5	"MM6 cell, Control knockdown, PMA treated"	"MM6 cell, Control knockdown, Mock treated"
p_11462_6	"MM6 cell, Control knockdown, LPS treated"	"MM6 cell, Control knockdown, Mock treated"
p_11462_7	"Jurkat cell, control knockdown, PMA treated"	"Jurkat cell, control knockdown, Mock treated"
p_11462_8	"Jurkat cell, cyclin T1 knockdown, PMA treated"	"Jurkat cell, cyclin T1 knockdown, Mock treated"
p_11462_9	MM6 cyclin T1 shRNA PMA treated	MM6 cyclin T1 shRNA Mock treated
p_11499_1	"peripheral blood, Ulcerative colitis"	"peripheral blood, Crohn's disease"
p_11504_1	"Human composite bone marrow, 3 months"	"Human composite bone marrow, 2 month"
p_11504_10	"Human composite bone marrow, 74 months"	"Human composite bone marrow, 2 month"
p_11504_20	"Human composite bone marrow, 313 months"	"Human composite bone marrow, 2 month"
p_11504_5	"Human composite bone marrow, 32 months"	"Human composite bone marrow, 2 month"
p_11506_1	"MCF-7 cells, E2 treated, 3h"	"MCF-7 cells, vehicle treated, 3h"
p_11506_2	"MCF-7 cells, E2 treated, 6h"	"MCF-7 cells, vehicle treated, 3h"
p_11524_1	"platele, sickle cell patients"	"platelet, control"
p_11550_1	"Hs 294T cell line, 0.01% DMSO treated, 6h"	"Hs 294T cell line, untreated"
p_11550_2	"Hs 294T cell line, 100nM elesclomol treated ,6h"	"Hs 294T cell line, untreated"
p_11550_3	"Hs 294T cell line, 250nM paclitaxel treated, 6h"	"Hs 294T cell line, untreated"
p_11550_4	"Hs 294T cell line, 100nM elesclomol + 250nM paclitaxel treated, 6h"	"Hs 294T cell line, untreated"
p_11551_1	"Hs 294T cell line, 100nM elesclomol treated at 6h"	"Hs 294T cell line, 0.01% DMSO treated at 6h"
p_11551_2	"Hs 294T cell line, 5mM NAC treated at 6h"	"Hs 294T cell line, 0.01% DMSO treated at 6h"
